name,address,type,remark
1,5,1,status
2,6,1,status
3,7,1,status
4,8,1,status
5,9,1,status
6,10,1,status
7,11,1,status
8,12,1,status
9,32,2,alarm
10,33,2,alarm
11,34,2,alarm
12,35,2,alarm
13,36,2,alarm
14,37,2,alarm
15,38,2,alarm
16,39,2,alarm
17,40,2,alarm
18,41,2,alarm
yyyy,81,0,date
mm,82,0,date
dd,83,0,date
hh,84,0,date
min,85,0,date
sec,86,0,date
ttl_a,90,3,data
ttl_b,91,3,data
ttl_c,92,3,data
yeild_a,93,3,data
yeild_b,94,3,data
yeild_c,95,3,data
tray_1,96,3,data
tray_2,97,3,data
tray_3,98,3,data
tray_main,99,3,data
